unit,multby,si
mg,0.0000010000000,kg
ug,0.0000000010000,kg
mg/L,0.0010000000000,kg/m3
ug/L,0.0000010000000,kg/m3
ppm,0.0010000000000,kg/m3
ppb,0.0000010000000,kg/m3
ft3/s,0.0283168000000,m3/s
gallon/min,0.0000630902000,m3/s
mgallon/day,0.0438130000000,m3/s
L/min,0.0000166667000,m3/s
L/s,0.0010000000000,m3/s
kg,1.0000000000000,kg
kg/m3,1.0000000000000,kg/m3
m3/s,1.0000000000000,m3/s
kg/s,1.0000000000000,kg/s
kg/day,0.0000115741000,kg/s
kg/yr,0.0000000317098,kg/s
tonne/yr,0.0000317098000,kg/s
tonne/day,0.0115740000000,kg/s
mg/kg,0.0000010000000,unitless
ug/kg,0.0000000010000,unitless
g/kg,0.0010000000000,unitless
